model,ECE_uniform,ECE_dynamic,SKCEb_median_distribution_free,SKCEuq_median_distribution_free,SKCEul_median_distribution_free,SKCEuq_median_asymptotic,SKCEul_median_asymptotic
densenet121,0.0,0.0,1.0,0.9999894144452068,0.9999264711580163,0.0,0.8392336627764564
densenet161,0.0,0.0,1.0,0.9999891924919826,0.9999920971444917,0.0,0.38098779853555953
densenet169,0.0,0.0,1.0,0.999981905138315,0.9999663161175191,0.0,0.7613732353394781
googlenet,0.0,0.0,1.0,0.999999822191508,0.9998974263496668,0.0,0.9004923987633002
inception_v3,0.0,0.0,1.0,0.9999922899900897,0.9999996818126374,0.0,0.4618998124171071
mobilenet_v2,0.0,0.0,0.9998738282170359,0.9999771782225871,0.9999987412645035,0.0,0.5393426329629679
resnet_orig,0.0,0.0,0.899103196672312,0.9998954481734563,0.9998958528434616,0.0,0.26156146626936416
resnet18,0.0,0.0,0.9847969855715755,0.9999569266267215,0.9999205504543641,0.0,0.1834527533092085
resnet34,0.0,0.0,0.952235509931523,0.9999319311128724,0.9998606479578309,0.0,0.22437615305005168
resnet50,0.0,0.0,0.9977159258618147,0.9999712052579941,0.9999963728591376,0.0,0.43999361916389346
vgg11_bn,0.0,0.0,0.9680881902989289,0.9999438188443519,0.9999858441964662,0.0,0.6590293015066628
vgg13_bn,0.0,0.0,1.0,0.9999828974624627,0.9999713430763506,0.0,0.7485174457854725
vgg16_bn,0.0,0.0,0.9855821322889947,0.9999572184893284,0.9999352773067978,0.0,0.23457555968031632
vgg19_bn,0.0,0.0,0.9959262181676004,0.9999678910567233,0.9999899617079835,0.0,0.36204173030094344
