estimate,m,αᵢ,π,only_firstclass
0.11,10,0.1,0.0,true
0.562,10,0.1,0.0,true
0.192,10,0.1,0.0,true
0.272,10,0.1,0.0,true
0.953,10,0.1,0.0,true
0.662,10,0.1,0.0,true
0.541,10,0.1,0.0,true
0.151,10,0.1,0.0,true
0.244,10,0.1,0.0,true
0.034,10,0.1,0.0,true
0.301,10,0.1,0.0,true
0.421,10,0.1,0.0,true
0.15,10,0.1,0.0,true
0.119,10,0.1,0.0,true
0.275,10,0.1,0.0,true
0.151,10,0.1,0.0,true
0.038,10,0.1,0.0,true
0.121,10,0.1,0.0,true
0.252,10,0.1,0.0,true
0.157,10,0.1,0.0,true
0.039,10,0.1,0.0,true
0.016,10,0.1,0.0,true
0.026,10,0.1,0.0,true
0.344,10,0.1,0.0,true
0.118,10,0.1,0.0,true
0.037,10,0.1,0.0,true
0.599,10,0.1,0.0,true
0.857,10,0.1,0.0,true
0.73,10,0.1,0.0,true
0.361,10,0.1,0.0,true
0.401,10,0.1,0.0,true
0.034,10,0.1,0.0,true
0.026,10,0.1,0.0,true
0.434,10,0.1,0.0,true
0.115,10,0.1,0.0,true
0.441,10,0.1,0.0,true
0.106,10,0.1,0.0,true
0.035,10,0.1,0.0,true
0.554,10,0.1,0.0,true
0.537,10,0.1,0.0,true
0.408,10,0.1,0.0,true
0.106,10,0.1,0.0,true
0.15,10,0.1,0.0,true
0.107,10,0.1,0.0,true
0.195,10,0.1,0.0,true
0.3,10,0.1,0.0,true
0.635,10,0.1,0.0,true
0.19,10,0.1,0.0,true
0.691,10,0.1,0.0,true
0.004,10,0.1,0.0,true
0.789,10,0.1,0.0,true
0.7,10,0.1,0.0,true
0.493,10,0.1,0.0,true
0.741,10,0.1,0.0,true
0.114,10,0.1,0.0,true
0.47,10,0.1,0.0,true
0.154,10,0.1,0.0,true
0.144,10,0.1,0.0,true
0.113,10,0.1,0.0,true
0.795,10,0.1,0.0,true
0.083,10,0.1,0.0,true
0.027,10,0.1,0.0,true
0.823,10,0.1,0.0,true
0.282,10,0.1,0.0,true
0.017,10,0.1,0.0,true
0.327,10,0.1,0.0,true
0.071,10,0.1,0.0,true
0.521,10,0.1,0.0,true
0.414,10,0.1,0.0,true
0.372,10,0.1,0.0,true
0.091,10,0.1,0.0,true
0.278,10,0.1,0.0,true
0.069,10,0.1,0.0,true
0.027,10,0.1,0.0,true
0.054,10,0.1,0.0,true
0.152,10,0.1,0.0,true
0.598,10,0.1,0.0,true
0.049,10,0.1,0.0,true
0.221,10,0.1,0.0,true
0.173,10,0.1,0.0,true
0.663,10,0.1,0.0,true
0.097,10,0.1,0.0,true
0.601,10,0.1,0.0,true
0.022,10,0.1,0.0,true
0.244,10,0.1,0.0,true
0.384,10,0.1,0.0,true
0.003,10,0.1,0.0,true
0.554,10,0.1,0.0,true
0.374,10,0.1,0.0,true
0.515,10,0.1,0.0,true
0.221,10,0.1,0.0,true
0.202,10,0.1,0.0,true
