estimator,nclasses,nsamples,time
ECE_uniform,2,10,8.105e-6
ECE_dynamic,2,10,3.558e-6
SKCEb_median,2,10,1.716e-6
SKCEuq_median,2,10,1.496e-6
SKCEul_median,2,10,1.97e-7
ECE_uniform,10,10,5.829e-6
ECE_dynamic,10,10,2.024e-6
SKCEb_median,10,10,2.332e-6
SKCEuq_median,10,10,2.028e-6
SKCEul_median,10,10,2.43e-7
ECE_uniform,100,10,3.6552e-5
ECE_dynamic,100,10,9.358e-6
SKCEb_median,100,10,3.783e-6
SKCEuq_median,100,10,3.474e-6
SKCEul_median,100,10,4.91e-7
ECE_uniform,1000,10,0.000310552
ECE_dynamic,1000,10,7.4616e-5
SKCEb_median,1000,10,1.5007e-5
SKCEuq_median,1000,10,1.2623e-5
SKCEul_median,1000,10,1.655e-6
ECE_uniform,2,17,5.101e-6
ECE_dynamic,2,17,2.732e-6
SKCEb_median,2,17,5.087e-6
SKCEuq_median,2,17,4.547e-6
SKCEul_median,2,17,2.95e-7
ECE_uniform,10,17,8.582e-6
ECE_dynamic,10,17,3.162e-6
SKCEb_median,10,17,6.923e-6
SKCEuq_median,10,17,6.242e-6
SKCEul_median,10,17,3.9e-7
ECE_uniform,100,17,6.1622e-5
ECE_dynamic,100,17,1.4007e-5
SKCEb_median,100,17,1.1294e-5
SKCEuq_median,100,17,1.0248e-5
SKCEul_median,100,17,6.05e-7
ECE_uniform,1000,17,0.000680865
ECE_dynamic,1000,17,0.00012395
SKCEb_median,1000,17,4.2523e-5
SKCEuq_median,1000,17,3.9095e-5
SKCEul_median,1000,17,2.659e-6
ECE_uniform,2,28,5.456e-6
ECE_dynamic,2,28,7.467e-6
SKCEb_median,2,28,1.3638e-5
SKCEuq_median,2,28,1.2796e-5
SKCEul_median,2,28,5.02e-7
ECE_uniform,10,28,1.1468e-5
ECE_dynamic,10,28,9.036e-6
SKCEb_median,10,28,1.8831e-5
SKCEuq_median,10,28,1.7557e-5
SKCEul_median,10,28,6.56e-7
ECE_uniform,100,28,0.00010941
ECE_dynamic,100,28,3.8381e-5
SKCEb_median,100,28,3.055e-5
SKCEuq_median,100,28,2.8157e-5
SKCEul_median,100,28,1.078e-6
ECE_uniform,1000,28,0.000854977
ECE_dynamic,1000,28,0.000267183
SKCEb_median,1000,28,0.000120485
SKCEuq_median,1000,28,0.00010753
SKCEul_median,1000,28,5.706e-6
ECE_uniform,2,46,6.68e-6
ECE_dynamic,2,46,1.8718e-5
SKCEb_median,2,46,3.7305e-5
SKCEuq_median,2,46,3.5941e-5
SKCEul_median,2,46,7.96e-7
ECE_uniform,10,46,1.7465e-5
ECE_dynamic,10,46,2.2982e-5
SKCEb_median,10,46,5.0292e-5
SKCEuq_median,10,46,4.8223e-5
SKCEul_median,10,46,1.072e-6
ECE_uniform,100,46,0.000149642
ECE_dynamic,100,46,7.6134e-5
SKCEb_median,100,46,8.2009e-5
SKCEuq_median,100,46,7.8026e-5
SKCEul_median,100,46,2.499e-6
ECE_uniform,1000,46,0.001409167
ECE_dynamic,1000,46,0.000663684
SKCEb_median,1000,46,0.000334297
SKCEuq_median,1000,46,0.00031409
SKCEul_median,1000,46,1.042e-5
ECE_uniform,2,77,8.582e-6
ECE_dynamic,2,77,3.7052e-5
SKCEb_median,2,77,0.000107208
SKCEuq_median,2,77,0.000102888
SKCEul_median,2,77,1.292e-6
ECE_uniform,10,77,2.7378e-5
ECE_dynamic,10,77,4.6696e-5
SKCEb_median,10,77,0.000140865
